trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
114,False,"{'a': 0.4, 'e': 0.9123958881918816}",20,10,-23.38611120745497,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
115,False,"{'a': 0.4, 'e': 0.9115924435659167}",30,0,-21.753958045497775,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
116,False,"{'a': 0.4, 'e': 0.910788352897591}",20,0,-89.10660189527734,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
117,False,"{'a': 0.4, 'e': 0.9099836151471148}",25,0,-47.7499424366531,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
118,False,"{'a': 0.4, 'e': 0.9091782292721863}",20,0,-152.15171159359238,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 4}",0
119,False,"{'a': 0.4, 'e': 0.9083721942279834}",25,0,-169.2010496634929,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
120,False,"{'a': 0.4, 'e': 0.9075655089671554}",25,7,-3.6235734074783057,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.4, 'e': 0.9067581724398149}",30,0,-101.11763980931224,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
122,False,"{'a': 0.4, 'e': 0.9059501835935296}",20,6,-70.15492092224514,"{0: 8, 1: 3, 2: 1, 3: 1, 4: 1}",1
123,False,"{'a': 0.4, 'e': 0.9051415413733143}",20,0,-109.59492467078854,"{0: 13, 1: 2, 2: 1, 3: 3, 4: 1}",0
124,False,"{'a': 0.4, 'e': 0.904332244721622}",20,0,-123.06668563640552,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
125,False,"{'a': 0.4, 'e': 0.9035222925783363}",35,0,-58.669504903177334,"{0: 28, 1: 1, 2: 5, 3: 0, 4: 1}",0
126,False,"{'a': 0.4, 'e': 0.9027116838807627}",20,0,-81.32965855672431,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
127,False,"{'a': 0.4, 'e': 0.9019004175636204}",25,11,-108.43131407229933,"{0: 7, 1: 0, 2: 4, 3: 2, 4: 1}",1
128,False,"{'a': 0.4, 'e': 0.9010884925590336}",20,0,-36.15138989889679,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
129,False,"{'a': 0.4, 'e': 0.9002759077965234}",20,0,-131.9187135633178,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
130,False,"{'a': 0.4, 'e': 0.8994626622029995}",20,6,-32.31777723966698,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
131,False,"{'a': 0.4, 'e': 0.898648754702751}",25,0,-97.79778717504269,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
132,False,"{'a': 0.4, 'e': 0.8978341842174383}",30,0,-188.12848287147625,"{0: 19, 1: 4, 2: 3, 3: 0, 4: 4}",0
133,False,"{'a': 0.4, 'e': 0.8970189496660848}",25,7,-63.244593438947774,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 0}",1
134,False,"{'a': 0.4, 'e': 0.8962030499650676}",20,8,-3.826135280757346,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.4, 'e': 0.8953864840281096}",35,0,-203.28822046364746,"{0: 20, 1: 4, 2: 7, 3: 1, 4: 3}",0
136,False,"{'a': 0.4, 'e': 0.8945692507662704}",20,0,-101.50042818336613,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
137,False,"{'a': 0.4, 'e': 0.8937513490879375}",20,0,-118.80129757681418,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
138,False,"{'a': 0.4, 'e': 0.8929327778988179}",20,0,-85.91233566143377,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
